id,label
38660,2
14565,3
33021,3
38684,3
74467,0
45731,3
57638,3
80548,0
55898,0
9915,0
15818,0
75192,3
83318,2
9297,2
29708,0
59677,0
97411,0
8227,2
44639,3
12055,0
40707,0
79043,3
56967,0
19683,0
66462,0
80201,0
95353,2
85943,0
5296,0
42903,0
4762,2
49475,3
26834,1
92594,0
70105,0
75160,0
77658,0
50695,3
26793,3
62784,0
17590,0
50749,0
49402,3
29798,0
20595,0
52967,0
36169,0
16613,0
3104,3
30679,3
91695,2
50305,0
7700,2
76690,0
3090,3
14102,3
96667,0
54354,0
29450,0
2543,3
91785,3
62139,0
69993,3
55468,3
72858,0
1286,3
78434,3
94141,3
54534,0
69322,0
65175,3
49564,0
5496,0
92574,3
82687,0
7813,0
1753,0
31624,0
38491,0
62014,0
34279,3
48526,1
27752,0
57109,2
62746,2
32686,0
89653,0
5406,3
96926,2
36488,0
94653,0
31698,0
24442,0
89167,0
60772,2
62327,0
74577,0
59483,1
16331,2
82059,2
43612,0
61243,0
30048,2
29805,0
63918,0
75801,0
70699,3
18484,0
91520,2
85253,0
17416,0
25856,0
5092,0
26368,0
89730,3
27406,0
80329,3
31163,0
48486,0
12720,0
42943,0
89820,0
9797,0
12438,2
38054,3
13879,2
86794,0
89710,0
21610,0
23444,0
60126,0
42135,0
17686,3
97349,0
82328,0
17813,3
11801,0
51965,2
87854,0
6908,0
27096,0
49690,3
3769,0
78790,3
12794,1
51132,3
4173,0
73334,3
63978,3
80859,0
24880,0
17215,3
87195,3
15814,0
82166,0
24190,0
58914,0
54812,3
20058,1
11088,3
32965,2
10189,0
46440,3
80916,0
91526,0
81986,0
26873,0
22796,0
33734,2
75813,3
30831,0
85575,0
96833,0
91935,2
45959,0
21014,0
3814,2
66482,3
1253,0
86942,2
7508,0
16726,0
73918,0
21420,0
22535,0
87736,2
30735,1
1388,0
17780,2
23550,0
17684,0
71871,2
93933,0
30737,3
51922,0
95308,3
63343,0
35915,0
18205,0
65281,0
18104,2
88351,3
96269,2
28604,0
78487,0
35149,0
99874,0
71048,0
83563,0
71071,2
66456,1
78105,3
9441,0
41461,0
72521,3
12649,0
54801,2
62313,0
88983,0
47018,3
86021,0
96493,0
41639,2
49937,0
25109,0
32328,1
75494,2
1700,0
35639,3
82963,0
80175,0
42668,0
91022,0
54114,3
55340,2
63129,0
84189,3
78305,0
35270,3
87337,0
32004,1
11667,3
95351,2
41308,0
99620,1
48921,2
76276,0
31386,2
3230,1
99353,3
6133,0
84798,0
28844,3
21156,2
88518,2
23745,0
71426,3
21611,1
82442,0
31171,0
54238,0
32667,3
7166,2
39085,0
11186,0
85670,0
81577,1
64824,0
93918,3
53839,0
9003,2
91767,2
38647,2
93344,0
72573,3
34422,2
55600,2
31016,0
24750,0
68479,0
10423,0
24590,0
48808,3
42681,2
89209,0
71061,2
49861,0
37053,0
8595,0
33494,0
80729,0
50580,0
94555,0
42447,0
8749,0
76478,2
21154,0
69290,0
63569,0
34876,3
20972,0
5323,0
76370,2
25645,2
34526,0
53188,0
57010,0
10618,0
53734,3
10714,3
30838,0
52441,0
69557,0
47838,0
89487,0
83732,0
45048,0
42942,3
18342,0
53423,0
3467,0
99732,1
92667,3
93653,0
21700,1
99626,1
68646,0
41648,0
53919,0
81431,2
71401,3
29193,0
34869,0
50801,0
45142,0
4787,0
60738,0
50037,2
27989,0
47438,0
30697,0
53518,0
23853,0
91389,0
85535,0
98420,0
57660,2
86237,3
91062,0
99546,0
96918,3
38612,0
54837,3
16987,3
15099,0
36534,0
26366,3
41596,0
66641,0
29380,0
23770,0
45874,0
20205,0
78892,0
77343,0
89142,0
56675,0
35858,2
84646,2
91441,0
72679,3
82676,2
65471,2
77208,0
77456,0
58182,0
39113,3
91124,3
87062,3
90433,3
91329,0
89129,2
95187,0
95099,0
36081,0
435,3
26951,0
71971,1
79903,0
97826,0
56743,1
60851,0
99631,0
69634,0
35089,0
65946,2
16773,0
73461,0
61908,0
13081,0
30963,3
99582,0
33908,3
61998,0
73595,2
31117,3
46002,0
66923,0
27645,2
41268,0
85922,0
54631,3
84839,0
61546,3
85099,0
62548,3
98359,0
34680,0
46330,0
87885,2
15265,0
83079,0
93409,3
26489,0
87623,0
98433,1
90939,0
97915,0
61696,2
64738,2
95770,0
30549,2
1539,0
32289,0
64851,3
33669,0
2838,0
11206,0
65410,0
86303,0
16463,3
49624,3
528,0
39766,0
60287,2
16102,3
69077,0
99516,0
69205,3
97711,0
18016,2
97718,0
67853,0
47313,0
98985,0
64691,0
9061,2
72102,0
34922,3
7025,0
57753,2
27621,0
16671,1
1019,0
70500,1
94993,0
30453,0
12175,2
77346,0
71004,0
30768,0
89474,0
85725,0
3271,0
44106,0
27239,3
41587,0
30578,0
82978,2
94015,0
67484,2
53683,0
43486,0
32080,0
23752,0
52473,0
77706,3
23736,0
1956,1
27122,2
52811,0
49824,2
89554,3
96690,2
69828,3
99466,1
33434,0
49632,0
41000,3
53928,3
41057,2
98699,0
64097,0
62238,0
71524,0
69831,3
80231,2
56282,0
39958,0
90405,0
21648,0
58324,3
67908,3
98713,0
71128,0
39692,3
11683,0
90683,0
91274,0
25835,3
95114,3
86864,2
63426,0
66218,0
73987,0
46342,0
53857,0
36537,0
12892,3
9054,2
51340,3
12806,0
76135,0
212,0
93421,0
84756,0
14376,0
43959,2
18746,2
61366,3
93241,3
45,0
7617,0
1120,0
46323,0
53903,0
70671,0
25440,0
89274,0
65628,0
63108,0
30302,0
89062,0
83852,0
66118,0
6883,0
90713,2
35843,2
84482,0
37856,0
1773,0
18237,2
83815,0
96450,0
66849,0
87188,0
34399,1
47405,2
83757,2
45331,0
66827,2
76985,0
3897,0
49743,0
88924,0
5808,0
44482,0
14598,2
9067,2
8616,0
8653,0
44397,2
84115,2
98446,0
6811,0
26386,0
13268,2
34625,0
46541,0
55580,0
58908,0
58783,0
72711,2
49883,0
1003,0
66090,0
14941,1
72433,0
63584,0
54957,0
73375,0
25448,3
5940,0
72913,2
60824,0
86204,0
15954,0
63196,3
42825,0
2125,0
32847,0
43792,0
5145,0
42357,0
78842,0
44861,3
65651,0
86908,1
23052,2
25827,3
85372,0
71312,0
47993,0
87295,0
61721,0
7720,2
90148,2
30326,0
9787,2
26139,0
52567,0
31712,2
95863,0
86024,2
70599,0
37358,2
42534,3
77451,0
52570,0
19233,0
5874,0
95030,0
2150,0
13330,2
56350,0
41054,0
16815,2
9042,0
73460,0
82885,0
79076,0
54776,0
3847,3
53551,0
76417,0
1030,0
32565,0
62847,0
63146,0
84656,0
18045,0
20627,3
88735,0
46366,0
60861,0
79296,0
76260,0
19656,3
95126,1
60988,3
16015,0
4299,0
99952,0
30131,0
4924,0
62458,0
59821,2
90920,2
95459,2
42389,2
48011,1
7892,0
76747,0
97132,0
74148,0
90297,0
28909,3
96347,0
20443,0
37787,2
40806,3
74393,0
36806,3
31775,0
20387,0
13269,0
78905,2
43859,2
49124,0
98821,0
37507,0
77391,1
12054,0
8288,0
53007,2
73062,3
23933,3
99033,0
57103,0
88471,2
31298,0
98590,0
28255,0
38540,0
43182,0
52193,0
19261,0
39054,2
53437,3
27487,1
24396,0
48550,3
57680,3
58077,3
5472,0
70134,0
20648,0
34921,3
89683,0
28045,0
32546,2
58475,2
6953,0
36368,3
29230,0
28541,0
32048,3
27314,3
6094,2
64870,3
66903,2
68783,0
99275,0
17478,3
38680,0
8989,0
70161,0
66384,0
32483,0
56817,3
91694,3
49742,0
3265,0
13794,3
1136,0
36257,1
16558,3
28152,0
4999,0
96973,0
73026,3
66756,0
49623,3
4073,0
18129,3
51840,0
26046,2
84991,3
18296,0
64780,0
19461,2
73582,1
88264,3
37756,1
9778,0
84831,0
23956,0
36362,3
82501,0
48553,0
85743,0
13461,0
263,0
45539,0
52706,0
31289,3
66343,0
68748,3
66846,0
77515,3
76009,0
57684,0
16116,3
19658,0
19896,0
29153,2
97099,0
22151,0
40257,0
16974,0
71106,0
73045,0
64616,0
4327,1
97597,0
23678,0
34791,0
52150,2
37640,1
97702,0
13609,0
36217,0
61528,0
92531,0
70811,3
32768,0
25893,0
42358,3
71822,3
45555,0
24189,2
4879,0
34352,3
22180,3
79457,0
21339,2
1221,0
5612,0
11655,3
25749,1
33656,0
38447,0
57137,0
74617,3
29421,0
47811,0
10370,0
88419,0
44488,3
61317,0
39115,0
64919,0
84957,0
12891,0
30091,0
67457,0
48318,2
8312,0
54228,2
3149,0
52754,0
31977,0
34996,1
35803,3
71306,0
59341,2
57777,0
4335,0
46507,0
27682,2
95859,2
88669,0
45769,2
13592,0
